Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2020-01-03 11:27 PM,2020-01-04 8:12 AM,493,31,19,524,114,267,112
2019-12-30 2:13 AM,2019-12-30 11:41 AM,492,76,26,568,106,260,126
2019-12-29 4:04 AM,2019-12-29 9:46 AM,293,49,14,342,59,154,80
2019-12-28 3:47 AM,2019-12-28 10:47 AM,369,51,16,420,100,206,63
2019-12-27 2:00 AM,2019-12-27 11:08 AM,487,61,22,548,139,260,88
2019-12-26 2:17 AM,2019-12-26 9:53 AM,418,38,19,456,122,255,41
2019-12-25 2:32 AM,2019-12-25 9:52 AM,402,38,20,440,125,178,99
2019-12-23 2:25 AM,2019-12-23 12:23 PM,548,50,1,598,NA,NA,NA
2019-12-09 1:34 AM,2019-12-09 11:28 AM,540,54,12,594,138,323,79
2019-12-08 7:57 AM,2019-12-08 9:57 AM,120,0,0,120,NA,NA,NA
2019-12-05 2:44 AM,2019-12-05 8:43 AM,316,42,23,358,37,213,66
2019-12-04 1:20 AM,2019-12-04 7:30 AM,318,52,25,370,52,169,97
2019-12-03 12:43 AM,2019-12-03 9:21 AM,466,52,20,518,93,301,72
2019-12-02 5:17 PM,2019-12-02 7:33 PM,135,0,0,135,NA,NA,NA
2019-12-02 1:59 AM,2019-12-02 7:35 AM,300,36,17,336,78,156,66
2019-11-29 12:24 AM,2019-11-29 10:38 AM,595,18,1,613,NA,NA,NA
2019-11-28 4:52 AM,2019-11-28 10:27 AM,291,44,21,335,64,155,72
2019-11-27 12:32 AM,2019-11-27 9:20 AM,450,78,18,528,94,246,110
2019-11-25 10:19 PM,2019-11-26 9:15 AM,591,65,37,656,173,283,135
2019-11-25 6:08 AM,2019-11-25 10:16 AM,206,42,8,248,24,168,14
2019-11-24 12:45 AM,2019-11-24 11:21 AM,584,52,18,636,179,214,191
2019-11-23 3:38 AM,2019-11-23 8:17 AM,253,26,12,279,69,142,42
2019-11-22 1:20 AM,2019-11-22 10:02 AM,504,18,0,522,NA,NA,NA
2019-11-21 12:58 AM,2019-11-21 8:58 AM,423,56,22,479,101,193,129
2019-11-20 12:41 AM,2019-11-20 10:18 AM,531,45,25,576,140,273,118
2019-11-19 2:45 AM,2019-11-19 9:08 AM,332,51,13,383,88,171,73
2019-11-17 7:10 PM,2019-11-17 8:27 PM,74,3,1,77,NA,NA,NA
2019-11-17 1:20 AM,2019-11-17 9:56 AM,439,77,22,516,109,266,64
2019-11-16 2:38 AM,2019-11-16 12:19 PM,519,62,20,581,140,260,119
2019-10-15 2:04 AM,2019-10-15 9:17 AM,382,51,26,433,56,273,53
2019-10-14 10:50 AM,2019-10-14 12:10 PM,70,10,1,80,NA,NA,NA
2019-10-14 12:18 AM,2019-10-14 8:23 AM,431,54,27,485,46,279,106
2019-10-12 12:44 AM,2019-10-12 8:23 AM,397,62,14,459,91,217,89
2019-10-11 12:59 AM,2019-10-11 7:40 AM,349,52,22,401,50,256,43
2019-10-09 11:14 PM,2019-10-10 8:33 AM,461,98,21,559,96,300,65
2019-10-09 7:51 PM,2019-10-09 9:36 PM,102,3,0,105,NA,NA,NA
2019-10-09 12:56 AM,2019-10-09 7:42 AM,349,57,13,406,30,265,54
2019-10-08 1:32 AM,2019-10-08 9:13 AM,424,37,16,461,126,251,47
2019-09-28 1:02 AM,2019-09-28 8:36 AM,411,43,10,454,84,269,58
2019-09-26 1:56 AM,2019-09-26 9:05 AM,381,48,8,429,71,275,35
2019-09-25 12:45 AM,2019-09-25 6:50 AM,322,43,8,365,87,171,64
2019-09-24 2:41 AM,2019-09-24 5:58 AM,169,27,3,196,20,138,11
2019-09-23 1:22 AM,2019-09-23 7:47 AM,332,52,18,384,36,240,56
2019-09-21 1:34 AM,2019-09-21 10:12 AM,505,12,0,517,NA,NA,NA
2019-09-20 12:58 AM,2019-09-20 10:36 AM,495,83,23,578,106,328,61
